Study.Area,Region.Label,Sample.Label,distance
Monte Vista NWR,Default,1,0.06
Monte Vista NWR,Default,1,0.07
Monte Vista NWR,Default,1,0.04
Monte Vista NWR,Default,1,0.01
Monte Vista NWR,Default,1,0.37
Monte Vista NWR,Default,1,0.36
Monte Vista NWR,Default,1,0.51
Monte Vista NWR,Default,1,0.45
Monte Vista NWR,Default,1,0.32
Monte Vista NWR,Default,1,0.61
Monte Vista NWR,Default,1,0.61
Monte Vista NWR,Default,1,0.66
Monte Vista NWR,Default,1,0.69
Monte Vista NWR,Default,1,1.02
Monte Vista NWR,Default,1,1.15
Monte Vista NWR,Default,1,1
Monte Vista NWR,Default,1,1.03
Monte Vista NWR,Default,1,1.05
Monte Vista NWR,Default,1,1.41
Monte Vista NWR,Default,1,1.4
Monte Vista NWR,Default,1,1.69
Monte Vista NWR,Default,1,1.61
Monte Vista NWR,Default,1,2
Monte Vista NWR,Default,1,1.97
Monte Vista NWR,Default,1,1.95
Monte Vista NWR,Default,1,2.13
Monte Vista NWR,Default,1,2.27
Monte Vista NWR,Default,2,0.28
Monte Vista NWR,Default,2,0.23
Monte Vista NWR,Default,2,0.1
Monte Vista NWR,Default,2,0.38
Monte Vista NWR,Default,2,0.59
Monte Vista NWR,Default,2,0.86
Monte Vista NWR,Default,2,0.86
Monte Vista NWR,Default,2,0.89
Monte Vista NWR,Default,2,0.82
Monte Vista NWR,Default,2,0.76
Monte Vista NWR,Default,2,1.19
Monte Vista NWR,Default,2,1.05
Monte Vista NWR,Default,2,0.94
Monte Vista NWR,Default,2,0.94
Monte Vista NWR,Default,2,1.27
Monte Vista NWR,Default,2,1.23
Monte Vista NWR,Default,2,1.41
Monte Vista NWR,Default,2,1.39
Monte Vista NWR,Default,2,1.31
Monte Vista NWR,Default,2,1.74
Monte Vista NWR,Default,2,2.21
Monte Vista NWR,Default,2,2.29
Monte Vista NWR,Default,2,2.19
Monte Vista NWR,Default,2,2.38
Monte Vista NWR,Default,2,2.22
Monte Vista NWR,Default,3,0.2
Monte Vista NWR,Default,3,0.1
Monte Vista NWR,Default,3,0.06
Monte Vista NWR,Default,3,0.21
Monte Vista NWR,Default,3,0.13
Monte Vista NWR,Default,3,0.23
Monte Vista NWR,Default,3,0.33
Monte Vista NWR,Default,3,0.39
Monte Vista NWR,Default,3,0.35
Monte Vista NWR,Default,3,0.44
Monte Vista NWR,Default,3,0.42
Monte Vista NWR,Default,3,0.38
Monte Vista NWR,Default,3,0.74
Monte Vista NWR,Default,3,0.66
Monte Vista NWR,Default,3,0.68
Monte Vista NWR,Default,3,0.8
Monte Vista NWR,Default,3,0.7
Monte Vista NWR,Default,3,0.76
Monte Vista NWR,Default,3,0.89
Monte Vista NWR,Default,3,1.07
Monte Vista NWR,Default,3,0.96
Monte Vista NWR,Default,3,0.98
Monte Vista NWR,Default,3,0.92
Monte Vista NWR,Default,3,1.26
Monte Vista NWR,Default,3,1.47
Monte Vista NWR,Default,3,1.31
Monte Vista NWR,Default,3,1.22
Monte Vista NWR,Default,3,1.67
Monte Vista NWR,Default,3,1.81
Monte Vista NWR,Default,3,2.33
Monte Vista NWR,Default,3,2.23
Monte Vista NWR,Default,3,2.14
Monte Vista NWR,Default,4,0.17
Monte Vista NWR,Default,4,0.19
Monte Vista NWR,Default,4,0.25
Monte Vista NWR,Default,4,0.03
Monte Vista NWR,Default,4,0.13
Monte Vista NWR,Default,4,0.18
Monte Vista NWR,Default,4,0.57
Monte Vista NWR,Default,4,0.53
Monte Vista NWR,Default,4,0.51
Monte Vista NWR,Default,4,0.52
Monte Vista NWR,Default,4,0.42
Monte Vista NWR,Default,4,0.55
Monte Vista NWR,Default,4,0.63
Monte Vista NWR,Default,4,0.89
Monte Vista NWR,Default,4,0.75
Monte Vista NWR,Default,4,0.77
Monte Vista NWR,Default,4,0.76
Monte Vista NWR,Default,4,0.88
Monte Vista NWR,Default,4,1.09
Monte Vista NWR,Default,4,1.09
Monte Vista NWR,Default,4,1.21
Monte Vista NWR,Default,4,1.4
Monte Vista NWR,Default,4,1.58
Monte Vista NWR,Default,4,1.61
Monte Vista NWR,Default,4,1.64
Monte Vista NWR,Default,4,1.66
Monte Vista NWR,Default,4,1.65
Monte Vista NWR,Default,4,1.95
Monte Vista NWR,Default,4,1.91
Monte Vista NWR,Default,4,2.3
Monte Vista NWR,Default,4,2.11
Monte Vista NWR,Default,4,2.18
Monte Vista NWR,Default,5,0.06
Monte Vista NWR,Default,5,0.13
Monte Vista NWR,Default,5,0.12
Monte Vista NWR,Default,5,0.49
Monte Vista NWR,Default,5,0.48
Monte Vista NWR,Default,5,0.54
Monte Vista NWR,Default,5,0.46
Monte Vista NWR,Default,5,0.35
Monte Vista NWR,Default,5,0.53
Monte Vista NWR,Default,5,0.74
Monte Vista NWR,Default,5,1.07
Monte Vista NWR,Default,5,1.1
Monte Vista NWR,Default,5,1.02
Monte Vista NWR,Default,5,1.34
Monte Vista NWR,Default,5,1.4
Monte Vista NWR,Default,5,1.29
Monte Vista NWR,Default,5,1.43
Monte Vista NWR,Default,5,1.37
Monte Vista NWR,Default,5,1.38
Monte Vista NWR,Default,5,1.23
Monte Vista NWR,Default,5,1.69
Monte Vista NWR,Default,5,1.68
Monte Vista NWR,Default,5,1.7
Monte Vista NWR,Default,5,1.61
Monte Vista NWR,Default,5,1.56
Monte Vista NWR,Default,5,1.86
Monte Vista NWR,Default,5,1.83
Monte Vista NWR,Default,6,0.1
Monte Vista NWR,Default,6,0.08
Monte Vista NWR,Default,6,0.03
Monte Vista NWR,Default,6,0.18
Monte Vista NWR,Default,6,0.24
Monte Vista NWR,Default,6,0.42
Monte Vista NWR,Default,6,0.52
Monte Vista NWR,Default,6,0.41
Monte Vista NWR,Default,6,0.34
Monte Vista NWR,Default,6,0.63
Monte Vista NWR,Default,6,0.71
Monte Vista NWR,Default,6,0.75
Monte Vista NWR,Default,6,0.75
Monte Vista NWR,Default,6,0.97
Monte Vista NWR,Default,6,1.08
Monte Vista NWR,Default,6,1.12
